47,EVs,Harris,Trump,MOE,Votes
Alabama,9,39,58,4.4,2323282
Alaska,3,41,53,3,359530
Arizona,11,45,49,4,3387326
Arkansas,6,40,55,4.6,1219069
California,54,59,35,3.5,17501380
Colorado,10,41,35,2.2,3256980
Connecticut,7,56,33,3.2,1823857
DC,3,90,4,5,344356
Delaware,3,56,36,5.8,504346
Florida,30,46,51,4,11067456
Georgia,16,48,47,4,4999960
Hawaii,4,61,28,3.1,574469
Idaho,4,28,55,4.4,867934
Illinois,19,43,34,4.5,6033744
Indiana,11,40,57,3,3033210
Iowa,6,43,53,3.4,1690871
Kansas,6,31,47,4.4,1373986
Kentucky,8,26,55,4.6,2136768
Louisiana,8,38,52,3.5,2148062
Maine,3,52,41,2.4,819461
Maine CD2,1,44,48,4,0
Maryland,10,64,31,4,3037030
Massachusetts,11,60,34,3.6,3631402
Michigan,15,47,47,4,5539302
Minnesota,10,50,47,3,3277171
Mississippi,6,41,56,4,1313759
Missouri,10,43,53,3.3,3025962
Montana,4,39,58,3,609674
Nebraska,3,40,55,4,956383
Nebraska CD1,1,46,48,4.9,0
Nebraska CD2,1,52,44,4,0
Nevada,6,49,46,4,1405376
New Hampshire,4,51,46,1.9,806205
New Jersey,14,55,35,4.2,4549457
New Mexico,5,49,44,3,923968
New York,28,58,39,4.1,8616861
North Carolina,16,48,49,3.3,5524804
North Dakota,3,32,59,4.4,362024
Ohio,17,44,53,4,5922202
Oklahoma,7,40,56,4,1560699
Oregon,8,51,35,3.1,2374321
Pennsylvania,19,48,48,4,6936976
Rhode Island,4,54,39,3.5,517757
South Carolina,9,42,55,3,2513329
South Dakota,3,35,62,3.3,422609
Tennessee,11,22,55,4.8,3053851
Texas,40,43,51,4,11315056
Utah,6,38,54,4.2,1488289
Vermont,3,63,31,2.9,367428
Virginia,13,51,41,4,4460524
Washington,12,57,35,4.9,4087631
West Virginia,4,23,59,4.2,794731
Wisconsin,10,49,47,4,3289041
Wyoming,3,15,68,4.7,276765
